Date	Open	High	Low	Close	Change (Pips)	Change (%)
Apr 11, 2019 02:00	1.12766	1.12779	1.12747	1.12757	-0.9	-0.01%
Apr 11, 2019 01:00	1.12758	1.12783	1.12748	1.12762	+0.4	+0.00%
Apr 11, 2019 00:00	1.12758	1.12793	1.12725	1.12758	+0.0	+0.00%
Apr 10, 2019 23:00	1.12762	1.12777	1.12748	1.12757	-0.5	+0.00%
Apr 10, 2019 22:00	1.12746	1.12768	1.12737	1.12763	+1.7	+0.02%
Apr 10, 2019 21:00	1.12729	1.12755	1.1271	1.12742	+1.3	+0.01%
Apr 10, 2019 20:00	1.12723	1.12746	1.12696	1.12745	+2.2	+0.02%
Apr 10, 2019 19:00	1.12708	1.12777	1.12696	1.12725	+1.7	+0.02%
Apr 10, 2019 18:00	1.1274	1.12773	1.12632	1.12709	-3.1	-0.03%
Apr 10, 2019 17:00	1.12754	1.12779	1.12734	1.12742	-1.2	-0.01%
Apr 10, 2019 16:00	1.12663	1.12786	1.12625	1.12756	+9.3	+0.08%
Apr 10, 2019 15:00	1.12503	1.12694	1.12489	1.12661	+15.8	+0.14%
Apr 10, 2019 14:00	1.12413	1.12528	1.12403	1.12503	+9.0	+0.08%
Apr 10, 2019 13:00	1.12562	1.12596	1.12296	1.12414	-14.8	-0.13%
Apr 10, 2019 12:00	1.12758	1.12865	1.12531	1.1256	-19.8	-0.18%
Apr 10, 2019 11:00	1.1275	1.12814	1.12724	1.12759	+0.9	+0.01%
Apr 10, 2019 10:00	1.12777	1.12791	1.12723	1.1275	-2.7	-0.02%
Apr 10, 2019 09:00	1.12699	1.1279	1.12682	1.12782	+8.3	+0.07%
Apr 10, 2019 08:00	1.12655	1.12722	1.12614	1.12695	+4.0	+0.04%
Apr 10, 2019 07:00	1.12718	1.12729	1.12615	1.12659	-5.9	-0.05%
Apr 10, 2019 06:00	1.12632	1.1274	1.12618	1.12717	+8.5	+0.08%
Apr 10, 2019 05:00	1.12616	1.12639	1.12595	1.12632	+1.6	+0.01%
Apr 10, 2019 04:00	1.12605	1.12639	1.12591	1.12613	+0.8	+0.01%
Apr 10, 2019 03:00	1.12586	1.12626	1.12576	1.12606	+2.0	+0.02%
Apr 10, 2019 02:00	1.12571	1.12591	1.12564	1.12584	+1.3	+0.01%
Apr 10, 2019 01:00	1.12586	1.12619	1.12555	1.12573	-1.3	-0.01%
Apr 10, 2019 00:00	1.12654	1.12669	1.12572	1.12582	-7.2	-0.06%
Apr 09, 2019 23:00	1.12663	1.1267	1.12652	1.12654	-0.9	-0.01%
Apr 09, 2019 22:00	1.12637	1.12662	1.12622	1.12661	+2.4	+0.02%
Apr 09, 2019 21:00	1.12622	1.1265	1.12612	1.12642	+2.0	+0.02%
Apr 09, 2019 20:00	1.12646	1.12665	1.1262	1.12633	-1.3	-0.01%
Apr 09, 2019 19:00	1.12665	1.12681	1.1262	1.12645	-2.0	-0.02%
Apr 09, 2019 18:00	1.12671	1.12678	1.12627	1.12662	-0.9	-0.01%
Apr 09, 2019 17:00	1.12704	1.12735	1.12632	1.12677	-2.7	-0.02%
Apr 09, 2019 16:00	1.12772	1.12783	1.12701	1.12702	-7.0	-0.06%
Apr 09, 2019 15:00	1.12732	1.12808	1.12682	1.12773	+4.1	+0.04%
Apr 09, 2019 14:00	1.12794	1.1282	1.12697	1.12733	-6.1	-0.05%
Apr 09, 2019 13:00	1.12795	1.12844	1.12764	1.12794	-0.1	+0.00%
Apr 09, 2019 12:00	1.12743	1.12821	1.12723	1.12788	+4.5	+0.04%
Apr 09, 2019 11:00	1.12784	1.12806	1.12734	1.12746	-3.8	-0.03%
Apr 09, 2019 10:00	1.12743	1.12789	1.12719	1.12783	+4.0	+0.04%
Apr 09, 2019 09:00	1.128	1.12809	1.12664	1.12742	-5.8	-0.05%
Apr 09, 2019 08:00	1.12655	1.12805	1.12624	1.12802	+14.7	+0.13%
Apr 09, 2019 07:00	1.12619	1.1272	1.12561	1.12652	+3.3	+0.03%
Apr 09, 2019 06:00	1.12634	1.12679	1.12596	1.12621	-1.3	-0.01%
Apr 09, 2019 05:00	1.12654	1.12661	1.12617	1.12631	-2.3	-0.02%
Apr 09, 2019 04:00	1.12675	1.12687	1.12658	1.12659	-1.6	-0.01%
Apr 09, 2019 03:00	1.1266	1.1269	1.12634	1.1267	+1.0	+0.01%
Apr 09, 2019 02:00	1.12635	1.12673	1.12631	1.12664	+2.9	+0.03%
Apr 09, 2019 01:00	1.12592	1.12659	1.12583	1.12631	+3.9	+0.03%
Apr 09, 2019 00:00	1.12556	1.12633	1.12554	1.12591	+3.5	+0.03%
Apr 08, 2019 23:00	1.12564	1.12577	1.12554	1.12554	-1.0	-0.01%
Apr 08, 2019 22:00	1.12605	1.12633	1.12551	1.12564	-4.1	-0.04%
Apr 08, 2019 21:00	1.12602	1.12652	1.1259	1.12607	+0.5	+0.00%
Apr 08, 2019 20:00	1.12649	1.12649	1.12592	1.12594	-5.5	-0.05%
